Date;sku;name;umb;Cantidad
2016-11-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-11-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2016-11-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2016-11-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2016-12-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-12-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;144
2016-12-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;275
2016-12-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;38
2016-12-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;384
2016-12-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2016-12-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;58
2016-12-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-12-13;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168
2016-12-13;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2016-12-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-168
2016-12-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168
2016-12-15;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-12-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2016-12-20;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-12-20;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;600
2016-12-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-01-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-01-11;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-11;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-11;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-01-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;288
